"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename"
"AMBVIA",NA,-0.0442649136252682,-0.0440840856361544,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/AMBVIA-full-run-only-Illinois-BMN-V1.html"
"ANATLOG",NA,-0.0562612587280593,-0.05587369490455,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ANATLOG-full-run-only-Illinois-BMN-V1.html"
"ANCNUM",NA,-0.0211141331559806,-0.0206774871764827,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ANCNUM-full-run-only-Illinois-BMN-V1.html"
"ASTCLY",NA,0.0243408747743984,0.0243878859126092,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ASTCLY-full-run-only-Illinois-BMN-V1.html"
"ATRYHIA",NA,-0.017889387976591,-0.017889387976591,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ATRYHIA-full-run-only-Illinois-BMN-V1.html"
"BATPHI",NA,0.229424584604736,0.229424584604736,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/BATPHI-full-run-only-Illinois-BMN-V1.html"
"BOLOBEL",NA,-0.0107232145311695,-0.0107207599139911,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/BOLOBEL-full-run-only-Illinois-BMN-V1.html"
"CELLAD",NA,0.013865894626306,0.0143477441498041,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/CELLAD-full-run-only-Illinois-BMN-V1.html"
"CERPEG",NA,-0.0995877517722877,-0.0995860772011616,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/CERPEG-full-run-only-Illinois-BMN-V1.html"
"CHLONYC",NA,0.0396436804101873,0.0396439864332851,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/CHLONYC-full-run-only-Illinois-BMN-V1.html"
"COLCES",NA,0.00474572499670034,0.00474572499670034,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/COLCES-full-run-only-Illinois-BMN-V1.html"
"DANPLE",NA,0.0100341724662561,0.0100341856108911,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/DANPLE-full-run-only-Illinois-BMN-V1.html"
"ENOANT",NA,0.201040141708339,0.201040141708339,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ENOANT-full-run-only-Illinois-BMN-V1.html"
"EPACLA",NA,0.071307031620633,0.071307031620633,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EPACLA-full-run-only-Illinois-BMN-V1.html"
"ERYBAP",NA,0.097461101244757,0.097461101244757,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ERYBAP-full-run-only-Illinois-BMN-V1.html"
"ERYHOR",NA,-0.0499468915677175,-0.0499425932714961,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ERYHOR-full-run-only-Illinois-BMN-V1.html"
"ERYJUV",NA,-0.027204665234668,-0.0272040228842168,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/ERYJUV-full-run-only-Illinois-BMN-V1.html"
"EUPHPHA",NA,0.0996472191225306,0.0996472191225306,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EUPHPHA-full-run-only-Illinois-BMN-V1.html"
"EUPTCLA",NA,0.0468156203555264,0.0469103232245067,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EUPTCLA-full-run-only-Illinois-BMN-V1.html"
"EUPYCON",NA,-0.0788515005658438,-0.0788515005638296,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EUPYCON-full-run-only-Illinois-BMN-V1.html"
"EUPYDIO",NA,0.00748014157594819,0.00748024142772705,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EUPYDIO-full-run-only-Illinois-BMN-V1.html"
"EUPYVES",NA,-0.026375240747511,-0.0263533370937048,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EUPYVES-full-run-only-Illinois-BMN-V1.html"
"EURLIS",NA,0.0820125887043986,0.08201259006039,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EURLIS-full-run-only-Illinois-BMN-V1.html"
"EURYMAR",NA,-0.0168933396096118,-0.0168928270330475,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EURYMAR-full-run-only-Illinois-BMN-V1.html"
"EVECOM",NA,-0.0272373317852859,-0.0265792639105679,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/EVECOM-full-run-only-Illinois-BMN-V1.html"
"LIBCAR",NA,-0.0164468336504858,-0.0163528628783732,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/LIBCAR-full-run-only-Illinois-BMN-V1.html"
"LIMARC",NA,0.17938699742267,0.17938699742267,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/LIMARC-full-run-only-Illinois-BMN-V1.html"
"LYCAHEL",NA,-0.0980754785379839,-0.0980754785379839,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/LYCAHEL-full-run-only-Illinois-BMN-V1.html"
"LYCAHYL",NA,-0.0557427613478569,-0.0557427603125025,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/LYCAHYL-full-run-only-Illinois-BMN-V1.html"
"LYCAPHL",NA,-0.0817419775758207,-0.0816611526970194,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/LYCAPHL-full-run-only-Illinois-BMN-V1.html"
"MEGICYM",NA,-0.0196759425127801,-0.0196635952047258,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/MEGICYM-full-run-only-Illinois-BMN-V1.html"
"NATIOL",NA,0.0823588698983039,0.082483638571898,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/NATIOL-full-run-only-Illinois-BMN-V1.html"
"NYMANT",NA,-0.0117019392472037,-0.0114024662826922,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/NYMANT-full-run-only-Illinois-BMN-V1.html"
"PAPGLA",NA,-0.00172736051884841,-0.00172496156850527,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/PAPGLA-full-run-only-Illinois-BMN-V1.html"
"PAPPOL",NA,0.0150404103936941,0.0150404583060056,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/PAPPOL-full-run-only-Illinois-BMN-V1.html"
"PAPTRO",NA,0.0526772740675276,0.0532007801838676,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/PAPTRO-full-run-only-Illinois-BMN-V1.html"
"PHOLCAT",NA,-0.0735723925949924,-0.0732029626627813,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/PHOLCAT-full-run-only-Illinois-BMN-V1.html"
"PHYTHA",NA,0.00779010055923894,0.00783616803256338,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/PHYTHA-full-run-only-Illinois-BMN-V1.html"
"PIERAP",NA,0.0237302588530385,0.0237302588530385,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/PIERAP-full-run-only-Illinois-BMN-V1.html"
"POAHOB",NA,-0.0357125153052645,-0.0356405892512044,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/POAHOB-full-run-only-Illinois-BMN-V1.html"
"POAMAS",NA,-0.166094250372104,-0.166094221512429,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V1/POAMAS-full-run-only-Illinois-BMN-V1.html"
