"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename"
"AMBVIA",NA,-0.0442649136252682,-0.0440840856361544,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/AMBVIA-full-run-only-Illinois-BMN-V2.html"
"ANATLOG",NA,-0.0562612587280593,-0.05587369490455,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/ANATLOG-full-run-only-Illinois-BMN-V2.html"
"ANCNUM",NA,-0.0211141331559806,-0.0206774871764827,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/ANCNUM-full-run-only-Illinois-BMN-V2.html"
"ASTCLY",NA,0.0243408747743984,0.0243878859126092,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/ASTCLY-full-run-only-Illinois-BMN-V2.html"
"ATRYHIA",NA,-0.017889387976591,-0.017889387976591,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/ATRYHIA-full-run-only-Illinois-BMN-V2.html"
"BATPHI",NA,0.229424584604736,0.229424584604736,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/BATPHI-full-run-only-Illinois-BMN-V2.html"
"BOLOBEL",NA,-0.0107232145311695,-0.0107207599139911,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/BOLOBEL-full-run-only-Illinois-BMN-V2.html"
"CELLAD",NA,0.013865894626306,0.0143477441498041,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/CELLAD-full-run-only-Illinois-BMN-V2.html"
"CERPEG",NA,-0.0995877517722877,-0.0995860772011616,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/CERPEG-full-run-only-Illinois-BMN-V2.html"
"CHLONYC",NA,0.0396436804101873,0.0396439864332851,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/CHLONYC-full-run-only-Illinois-BMN-V2.html"
"COLCES",NA,0.00474572499670034,0.00474572499670034,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/COLCES-full-run-only-Illinois-BMN-V2.html"
"DANPLE",NA,0.0100341724662561,0.0100341856108911,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/DANPLE-full-run-only-Illinois-BMN-V2.html"
"ENOANT",NA,0.201040141708339,0.201040141708339,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/ENOANT-full-run-only-Illinois-BMN-V2.html"
"EPACLA",NA,0.071307031620633,0.071307031620633,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EPACLA-full-run-only-Illinois-BMN-V2.html"
"ERYBAP",NA,0.097461101244757,0.097461101244757,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/ERYBAP-full-run-only-Illinois-BMN-V2.html"
"ERYHOR",NA,-0.0499468915677175,-0.0499425932714961,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/ERYHOR-full-run-only-Illinois-BMN-V2.html"
"ERYJUV",NA,-0.027204665234668,-0.0272040228842168,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/ERYJUV-full-run-only-Illinois-BMN-V2.html"
"EUPHPHA",NA,0.0996472191225306,0.0996472191225306,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EUPHPHA-full-run-only-Illinois-BMN-V2.html"
"EUPTCLA",NA,0.0468156203555264,0.0469103232245067,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EUPTCLA-full-run-only-Illinois-BMN-V2.html"
"EUPYCON",NA,-0.0788515005658438,-0.0788515005638296,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EUPYCON-full-run-only-Illinois-BMN-V2.html"
"EUPYDIO",NA,0.00748014157594819,0.00748024142772705,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EUPYDIO-full-run-only-Illinois-BMN-V2.html"
"EUPYVES",NA,-0.026375240747511,-0.0263533370937048,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EUPYVES-full-run-only-Illinois-BMN-V2.html"
"EURLIS",NA,0.0820125887043986,0.08201259006039,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EURLIS-full-run-only-Illinois-BMN-V2.html"
"EURYMAR",NA,-0.0168933396096118,-0.0168928270330475,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EURYMAR-full-run-only-Illinois-BMN-V2.html"
"EVECOM",NA,-0.0272373317852859,-0.0265792639105679,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/EVECOM-full-run-only-Illinois-BMN-V2.html"
"LIBCAR",NA,-0.0164468336504858,-0.0163528628783732,NA,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-Illinois-BMN-V2/LIBCAR-full-run-only-Illinois-BMN-V2.html"
