"code","abund.correlation","species.trend","trend.at.highest.predictions","trend.at.best.nfj.data","filename","n.data"
"ACHLYC",0.9296,-0.0438540926536842,-0.0433464557858469,-0.044298519043989,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ACHLYC-full-run-only-NFJ-V1.html",7143
"ADEBRE",0.9566,-0.00748654203409831,-0.00663695076032855,-0.00798068258953799,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ADEBRE-full-run-only-NFJ-V1.html",1840
"AGRAVAN",0.9652,0.0314288875113862,0.0318878151067818,0.0317327134942096,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AGRAVAN-full-run-only-NFJ-V1.html",5812
"AGRGLA",0.9409,-0.0188118178107027,-0.0180346574655466,-0.0188783765870459,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AGRGLA-full-run-only-NFJ-V1.html",929
"AMBHEG",0.7894,0.0335818493786691,0.034907257741871,0.0330883904100043,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AMBHEG-full-run-only-NFJ-V1.html",6165
"AMBVIA",0.8996,-0.0309789341335218,-0.0303414356825299,-0.0314728203209281,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AMBVIA-full-run-only-NFJ-V1.html",8534
"ANAAND",0.8833,-0.0135716308983052,-0.0130000027272898,-0.0132739565148565,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANAAND-full-run-only-NFJ-V1.html",4591
"ANATLOG",0.9372,-0.0163320277166675,-0.0157283621977289,-0.0157923425958726,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANATLOG-full-run-only-NFJ-V1.html",9267
"ANCNUM",0.6064,0.00107869289971468,0.00173312729617159,0.00119985926515134,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANCNUM-full-run-only-NFJ-V1.html",9137
"ANTHLAN",0.9887,-0.0186868166497042,-0.0182532927602814,-0.0222549771450201,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANTHLAN-full-run-only-NFJ-V1.html",780
"ANTHMID",0.4251,0.0824312011410964,0.0829714895286155,0.0826710260716265,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANTHMID-full-run-only-NFJ-V1.html",5802
"ANTHSAR",0.9633,0.0119326422842204,0.0124171355185202,0.0114947085423866,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ANTHSAR-full-run-only-NFJ-V1.html",1883
"APOMOR",0.9262,-0.0090186285002231,-0.00851815818540458,-0.00896227215659182,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/APOMOR-full-run-only-NFJ-V1.html",1727
"ASTCEL",0.8302,-0.0388567206255012,-0.0381660272056314,-0.0385978107940405,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ASTCEL-full-run-only-NFJ-V1.html",2675
"ASTCLY",0.9862,-0.0174314152568258,-0.0163442165174774,-0.0175031496759897,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ASTCLY-full-run-only-NFJ-V1.html",8865
"ATACAM",0.7946,-0.0126109867856837,-0.0118796942192301,-0.0123508642125689,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ATACAM-full-run-only-NFJ-V1.html",9456
"ATLHAL",0.6932,-0.00599796524366901,-0.00476548839118696,-0.00772068974237303,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ATLHAL-full-run-only-NFJ-V1.html",5597
"ATRARO",0.9332,-0.0570054073950919,-0.0565118417747901,-0.056843121376324,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ATRARO-full-run-only-NFJ-V1.html",4239
"ATRYHIA",0.9581,0.00732358551166877,0.00792073945715899,0.00704232904030889,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/ATRYHIA-full-run-only-NFJ-V1.html",8090
"AUTCEL",0.9817,0.0265977971470354,0.0276183674944299,0.0263566807066937,"G:/repos/status-of-butterflies-analysis/4_res/fits-parameterized/full-run-only-NFJ-V1/AUTCEL-full-run-only-NFJ-V1.html",2627
